This table lists all knockdown/RNA-seq ENCODE experiments examined while
looking for LARS splicing regulators. The File column shows the rMATS
differential splicing quantifications file accession from each experiment.
Experiments missing this file were not included in the search.

CellLine Target    Experiment  File       
HepG2    SRSF5     ENCSR447UCG            
HepG2    SRSF7     ENCSR017PRS            
HepG2    SRSF9     ENCSR597XHH ENCFF601OFU
HepG2    SSB       ENCSR278CHI ENCFF643KMA
HepG2    SSRP1     ENCSR422JMS ENCFF286WVL
HepG2    STAU1     ENCSR124KCF ENCFF220NWQ
HepG2    STIP1     ENCSR871BXO ENCFF077SNT
HepG2    SUB1      ENCSR997FOT ENCFF868ZFH
HepG2    SUCLG1    ENCSR810JYX ENCFF690IGS
HepG2    SUGP2     ENCSR837QDN ENCFF651MFV
HepG2    SUPT6H    ENCSR281KCL ENCFF080OKW
HepG2    SUPV3L1   ENCSR995RPB ENCFF760IOG
HepG2    TAF15     ENCSR998RZI ENCFF109SNV
HepG2    TARDBP    ENCSR527QNC ENCFF758XOV
HepG2    TBRG4     ENCSR741YCA ENCFF829KGT
HepG2    TFIP11    ENCSR573UBF ENCFF667GIL
HepG2    TIA1      ENCSR057GCF ENCFF496QSP
HepG2    TIAL1     ENCSR450VQO ENCFF025APP
HepG2    TRA2A     ENCSR030GZQ ENCFF381KLS
HepG2    TRIM56    ENCSR309HXK ENCFF986NDG
HepG2    TROVE2    ENCSR946OFN ENCFF634QDI
HepG2    TUFM      ENCSR459EMR ENCFF453FSL
HepG2    U2AF1     ENCSR372UWV ENCFF212KEA
HepG2    U2AF2     ENCSR622MCX ENCFF930SEB
HepG2    U2AF2     ENCSR426UUG ENCFF930SEB
HepG2    UBE2L3    ENCSR424JSU ENCFF535YDA
HepG2    UCHL5     ENCSR684HTV ENCFF558UKC
HepG2    UPF1      ENCSR689MIY ENCFF017JPP
HepG2    UPF2      ENCSR318OXM ENCFF271UXZ
HepG2    UTP18     ENCSR269ZAO ENCFF043NQT
HepG2    UTP3      ENCSR910ECL ENCFF974SCD
HepG2    XPO5      ENCSR778RWJ ENCFF703DYL
HepG2    XRCC5     ENCSR732IYM ENCFF401RXS
HepG2    XRCC6     ENCSR500WHE ENCFF229TWD
HepG2    XRN2      ENCSR347ZHQ ENCFF243JXJ
HepG2    YBX3      ENCSR494VSD ENCFF188RMG
HepG2    ZC3H8     ENCSR696JWA ENCFF697NGR
HepG2    ZNF622    ENCSR518JXY ENCFF429EKS
HepG2    ZRANB2    ENCSR081QQH ENCFF067OXZ
K562     AARS      ENCSR599UDS ENCFF258JHJ
K562     AATF      ENCSR973QSV ENCFF006MOL
K562     ABCF1     ENCSR721MXZ ENCFF359WLF
K562     ADAR      ENCSR164TLB ENCFF895RBR
K562     AGGF1     ENCSR812TLY ENCFF075GSB
K562     AGO1      ENCSR268JDD ENCFF752NXK
K562     AGO2      ENCSR495YSS            
K562     AGO3      ENCSR207QGW            
K562     AKAP1     ENCSR338CON ENCFF078VVQ
K562     AKAP8     ENCSR000YYN ENCFF426NIQ
K562     AKAP8L    ENCSR809ISU ENCFF110QUU
K562     APOBEC3C  ENCSR963RLK ENCFF937YFU
K562     AQR       ENCSR624OUI ENCFF881OPB
K562     ASCC1     ENCSR253DCB ENCFF353FPL
K562     ATP5C1    ENCSR231DXJ ENCFF269ZSM
K562     AUH       ENCSR395FYF ENCFF575BBV
K562     BCCIP     ENCSR606QIX ENCFF254FXJ
K562     BCLAF1    ENCSR410ZPU ENCFF209ERP
K562     BOP1      ENCSR775TMW ENCFF054JWT
